pop	province	lineage
V_alfalfae	NA	NA
QC19-4T	QC	L2
PEI19-28	PEI	L2
PEI19-3	PEI	L2
PEI19-5	PEI	L2
AB19-3	AB	L2
PEI20-18	PEI	L2
PEI19-5T	PEI	L2
NB20-4	NB	L2
NB20-13	NB	L2
NB19-9	NB	L2
NB19-8	NB	L2
ON20-5	ON	L2
ON20-8	ON	L2
PEI19-4T	PEI	L2
NB19-14	NB	L2
ON19-5	ON	L2
ON19-9	ON	L2
ON19-7	ON	L2
ON20-18	ON	L2
ON19-6	ON	L2
QC20-121	QC	L2
QC20-151	QC	L2
NB20-19	NB	L2
NB20-10	NB	L2
PEI19-7	PEI	L2
NB19-1	NB	L2
PEI19-24T	PEI	L2
PEI20-30	PEI	L2
NB19-1T	NB	L2
PEI19-17T	PEI	L2
QC20-135	QC	L2
NB19-2T	NB	L2
PEI19-20TK	PEI	L2
QC20-149	QC	L2
NB20-6	NB	L2
NB19-16T	NB	L2
NB20-3	NB	L2
NB20-30	NB	L2
PEI20-11	PEI	L2
PEI19-12T	PEI	L2
PEI20-7	PEI	L2
NB19-3T	NB	L2
PEI19-9T	PEI	L2
PEI19-7T	PEI	L2
QC20-141	QC	L2
PEI20-22	PEI	L2
PEI19-12	PEI	L2
QC19-7T	QC	L2
PEI19-22T	PEI	L2
PEI20-16	PEI	L2
PEI19-10TK	PEI	L2
PEI19-15	PEI	L2
NB19-2K	NB	L2
PEI20-20	PEI	L2
PEI20-28	PEI	L2
PEI19-20	PEI	L2
PEI19-14T	PEI	L2
ON20-32	ON	L2
PEI19-3T	PEI	L2
NB19-13	NB	L2
NB19-15TK	NB	L2
NB20-9	NB	L2
NB19-18T	NB	L2
QC20-143	QC	L2
NB20-24	NB	L2
NB19-18	NB	L2
NB20-18	NB	L2
NB19-17T	NB	L2
NB20-20	NB	L2
NB20-21	NB	L2
NB19-3	NB	L2
PEI20-6	PEI	L2
PEI19-9	PEI	L2
PEI19-17	PEI	L2
NB19-15T	NB	L2
QC19-1T	QC	L2
QC19-2T	QC	L2
PEI19-2T	PEI	L2
NB19-11	NB	L2
PEI20-21	PEI	L2
PEI19-1K	PEI	L2
NB19-17	NB	L2
NB20-11	NB	L2
MB19-11	MB	L2
NB19-10	NB	L2
NB20-29	NB	L2
QC19-17	QC	L2
PEI20-9	PEI	L2
NB20-5	NB	L2
PEI19-6	PEI	L2
NB20-7	NB	L2
QC20-124	QC	L2
QC19-4	QC	L2
PEI19-27TK	PEI	L2
PEI20-31	PEI	L2
QC20-142	QC	L2
NB20-28	NB	L2
PEI20-25	PEI	L2
PEI20-24	PEI	L2
PEI19-13T	PEI	L2
PEI19-19	PEI	L2
NB20-27	NB	L2
PEI20-1	PEI	L2
PEI19-20K	PEI	L2
QC20-146	QC	L2
NB20-22	NB	L2
QC19-6	QC	L2
NB20-8	NB	L2
NB19-19TK	NB	L2
QC20-131	QC	L2
QC20-147	QC	L2
AB19-6	AB	L2
PEI19-30	PEI	L2
PEI19-24	PEI	L2
NB19-5	NB	L2
PEI19-21	PEI	L2
PEI19-25	PEI	L2
PEI19-22	PEI	L2
AB19-28	AB	L1
AB20-67	AB	L1
AB20-43	AB	L1
AB20-65	AB	L1
AB20-48	AB	L1
MB19-17	MB	L1
AB20-52	AB	L1
MB19-8	MB	L1
AB19-7	AB	L1
AB20-56	AB	L1
NB19-6K	NB	L1
ON20-6	ON	L1
AB19-4	AB	L1
NB19-6	NB	L1
MB19-14	MB	L1
PEI19-10-2	PEI	L1
ON20-10	ON	L1
ON20-30	ON	L1
PEI20-27	PEI	L1
ON19-11	ON	L1
AB20-51	AB	L1
ON20-3	ON	L1
AB19-25	AB	L1
MB19-4	MB	L1
MB20-2	MB	L1
AB20-57	AB	L1
MB20-5	MB	L1
AB19-1	AB	L1
PEI19-18T	PEI	L1
AB19-14	AB	L1
PEI19-4	PEI	L1
ON20-29	ON	L1
PEI19-10K	PEI	L1
AB19-16	AB	L1
AB19-24	AB	L1
MB19-10	MB	L1
ON20-12	ON	L1
AB19-18	AB	L1
PEI19-13	PEI	L1
MB19-2	MB	L1
ON20-9	ON	L1
NB19-20	NB	L1
NB19-20T	NB	L1
PEI19-10-1	PEI	L1
PEI20-29	PEI	L1
PEI19-18	PEI	L1
ON20-4	ON	L1
NB19-15K	NB	L1
MB19-3	MB	L1
AB20-45	AB	L1
AB19-10	AB	L1
QC20-136	QC	L1
PEI19-1	PEI	L1
NB19-4T	NB	L1
MB19-7	MB	L1
ON20-31	ON	L1
AB19-8	AB	L1
PEI19-1TK	PEI	L1
AB20-55	AB	L1
ON19-10	ON	L1
ON20-11	ON	L1
PEI20-23	PEI	L1
NB19-4	NB	L1
NB19-6TK	NB	L1
ON20-25	ON	L1
PEI19-10T	PEI	L1
ON20-14	ON	L1
AB19-11	AB	L1
NB19-12K	NB	L1
AB19-15	AB	L1
PEI19-26	PEI	L1
AB20-44	AB	L1
PEI19-23	PEI	L1
NB19-7	NB	L1
